SampleID	run	treatment	treatment2	sample_type	cage	treatment_cage	date	cycle	treatment_cycle	treatment_cycle2
X21.C3.Ch.1	run_two	control_Chlorothalonil	control_Chlorothalonil	single_bee	cage_3	control_Chlorothalonil_cage_3	21_3	cycle_3_before_stress	control_Chlorothalonil_cycle_3_before_stress	control_Chlorothalonil_cycle_3_before_stress
X21.C3.Ch.4	run_two	control_Chlorothalonil	control_Chlorothalonil	single_bee	cage_3	control_Chlorothalonil_cage_3	21_3	cycle_3_before_stress	control_Chlorothalonil_cycle_3_before_stress	control_Chlorothalonil_cycle_3_before_stress
X21.C3.Ch.5	run_one	control_Chlorothalonil	control_Chlorothalonil	single_bee	cage_3	control_Chlorothalonil_cage_3	21_3	cycle_3_before_stress	control_Chlorothalonil_cycle_3_before_stress	control_Chlorothalonil_cycle_3_before_stress
X21.C3.G.2	run_one	control_Glyphosate	control_Glyphosate	single_bee	cage_3	control_Glyphosate_cage_3	21_3	cycle_3_before_stress	control_Glyphosate_cycle_3_before_stress	control_Glyphosate_cycle_3_before_stress
X21.C3.G.3	run_one	control_Glyphosate	control_Glyphosate	single_bee	cage_3	control_Glyphosate_cage_3	21_3	cycle_3_before_stress	control_Glyphosate_cycle_3_before_stress	control_Glyphosate_cycle_3_before_stress
X21.C3.G.5	run_two	control_Glyphosate	control_Glyphosate	single_bee	cage_3	control_Glyphosate_cage_3	21_3	cycle_3_before_stress	control_Glyphosate_cycle_3_before_stress	control_Glyphosate_cycle_3_before_stress
X21.C3.T.1	run_two	control_Tetracycline	control_Tetracycline	single_bee	cage_3	control_Tetracycline_cage_3	21_3	cycle_3_before_stress	control_Tetracycline_cycle_3_before_stress	control_Tetracycline_cycle_3_before_stress
X21.C3.T.2	run_two	control_Tetracycline	control_Tetracycline	single_bee	cage_3	control_Tetracycline_cage_3	21_3	cycle_3_before_stress	control_Tetracycline_cycle_3_before_stress	control_Tetracycline_cycle_3_before_stress
X21.C3.T.5	run_one	control_Tetracycline	control_Tetracycline	single_bee	cage_3	control_Tetracycline_cage_3	21_3	cycle_3_before_stress	control_Tetracycline_cycle_3_before_stress	control_Tetracycline_cycle_3_before_stress
X21.C3.T.6	run_one	control_Tetracycline	control_Tetracycline	single_bee	cage_3	control_Tetracycline_cage_3	21_3	cycle_3_before_stress	control_Tetracycline_cycle_3_before_stress	control_Tetracycline_cycle_3_before_stress
X21.Ch1.1	run_one	Chlorothalonil	Chlorothalonil	single_bee	cage_1	Chlorothalonil_cage_1	21_3	cycle_3_before_stress	Chlorothalonil_cycle_3_before_stress	Chlorothalonil_cycle_3_before_stress
X21.Ch1.3	run_two	Chlorothalonil	Chlorothalonil	single_bee	cage_1	Chlorothalonil_cage_1	21_3	cycle_3_before_stress	Chlorothalonil_cycle_3_before_stress	Chlorothalonil_cycle_3_before_stress
X21.Ch1.6	run_one	Chlorothalonil	Chlorothalonil	single_bee	cage_1	Chlorothalonil_cage_1	21_3	cycle_3_before_stress	Chlorothalonil_cycle_3_before_stress	Chlorothalonil_cycle_3_before_stress
X21.Ch2.3	run_one	Chlorothalonil	Chlorothalonil	single_bee	cage_2	Chlorothalonil_cage_2	21_3	cycle_3_before_stress	Chlorothalonil_cycle_3_before_stress	Chlorothalonil_cycle_3_before_stress
X21.Ch2.4	run_two	Chlorothalonil	Chlorothalonil	single_bee	cage_2	Chlorothalonil_cage_2	21_3	cycle_3_before_stress	Chlorothalonil_cycle_3_before_stress	Chlorothalonil_cycle_3_before_stress
X21.Ch2.6	run_two	Chlorothalonil	Chlorothalonil	single_bee	cage_2	Chlorothalonil_cage_2	21_3	cycle_3_before_stress	Chlorothalonil_cycle_3_before_stress	Chlorothalonil_cycle_3_before_stress
X21.Ch3.1	run_two	Chlorothalonil	Chlorothalonil	single_bee	cage_3	Chlorothalonil_cage_3	21_3	cycle_3_before_stress	Chlorothalonil_cycle_3_before_stress	Chlorothalonil_cycle_3_before_stress
X21.Ch3.4	run_one	Chlorothalonil	Chlorothalonil	single_bee	cage_3	Chlorothalonil_cage_3	21_3	cycle_3_before_stress	Chlorothalonil_cycle_3_before_stress	Chlorothalonil_cycle_3_before_stress
X21.Ch3.5	run_one	Chlorothalonil	Chlorothalonil	single_bee	cage_3	Chlorothalonil_cage_3	21_3	cycle_3_before_stress	Chlorothalonil_cycle_3_before_stress	Chlorothalonil_cycle_3_before_stress
X21.G1.1	run_one	Glyphosate	Glyphosate	single_bee	cage_1	Glyphosate_cage_1	21_3	cycle_3_before_stress	Glyphosate_cycle_3_before_stress	Glyphosate_cycle_3_before_stress
X21.G1.2	run_two	Glyphosate	Glyphosate	single_bee	cage_1	Glyphosate_cage_1	21_3	cycle_3_before_stress	Glyphosate_cycle_3_before_stress	Glyphosate_cycle_3_before_stress
X21.G1.3	run_two	Glyphosate	Glyphosate	single_bee	cage_1	Glyphosate_cage_1	21_3	cycle_3_before_stress	Glyphosate_cycle_3_before_stress	Glyphosate_cycle_3_before_stress
X21.G2.1	run_two	Glyphosate	Glyphosate	single_bee	cage_2	Glyphosate_cage_2	21_3	cycle_3_before_stress	Glyphosate_cycle_3_before_stress	Glyphosate_cycle_3_before_stress
X21.G2.2	run_one	Glyphosate	Glyphosate	single_bee	cage_2	Glyphosate_cage_2	21_3	cycle_3_before_stress	Glyphosate_cycle_3_before_stress	Glyphosate_cycle_3_before_stress
X21.G2.3	run_one	Glyphosate	Glyphosate	single_bee	cage_2	Glyphosate_cage_2	21_3	cycle_3_before_stress	Glyphosate_cycle_3_before_stress	Glyphosate_cycle_3_before_stress
X21.G3.1	run_two	Glyphosate	Glyphosate	single_bee	cage_3	Glyphosate_cage_3	21_3	cycle_3_before_stress	Glyphosate_cycle_3_before_stress	Glyphosate_cycle_3_before_stress
X21.G3.3	run_two	Glyphosate	Glyphosate	single_bee	cage_3	Glyphosate_cage_3	21_3	cycle_3_before_stress	Glyphosate_cycle_3_before_stress	Glyphosate_cycle_3_before_stress
X21.G3.4	run_one	Glyphosate	Glyphosate	single_bee	cage_3	Glyphosate_cage_3	21_3	cycle_3_before_stress	Glyphosate_cycle_3_before_stress	Glyphosate_cycle_3_before_stress
X21.T1.1	run_two	Tetracycline	Tetracycline	single_bee	cage_1	Tetracycline_cage_1	21_3	cycle_3_before_stress	Tetracycline_cycle_3_before_stress	Tetracycline_cycle_3_before_stress
X21.T1.2	run_one	Tetracycline	Tetracycline	single_bee	cage_1	Tetracycline_cage_1	21_3	cycle_3_before_stress	Tetracycline_cycle_3_before_stress	Tetracycline_cycle_3_before_stress
X21.T1.4	run_two	Tetracycline	Tetracycline	single_bee	cage_1	Tetracycline_cage_1	21_3	cycle_3_before_stress	Tetracycline_cycle_3_before_stress	Tetracycline_cycle_3_before_stress
X21.T2.1	run_one	Tetracycline	Tetracycline	single_bee	cage_2	Tetracycline_cage_2	21_3	cycle_3_before_stress	Tetracycline_cycle_3_before_stress	Tetracycline_cycle_3_before_stress
X21.T2.2	run_one	Tetracycline	Tetracycline	single_bee	cage_2	Tetracycline_cage_2	21_3	cycle_3_before_stress	Tetracycline_cycle_3_before_stress	Tetracycline_cycle_3_before_stress
X21.T2.3	run_two	Tetracycline	Tetracycline	single_bee	cage_2	Tetracycline_cage_2	21_3	cycle_3_before_stress	Tetracycline_cycle_3_before_stress	Tetracycline_cycle_3_before_stress
X21.T3.1	run_one	Tetracycline	Tetracycline	single_bee	cage_3	Tetracycline_cage_3	21_3	cycle_3_before_stress	Tetracycline_cycle_3_before_stress	Tetracycline_cycle_3_before_stress
X21.T3.3	run_two	Tetracycline	Tetracycline	single_bee	cage_3	Tetracycline_cage_3	21_3	cycle_3_before_stress	Tetracycline_cycle_3_before_stress	Tetracycline_cycle_3_before_stress
X21.T3.4	run_two	Tetracycline	Tetracycline	single_bee	cage_3	Tetracycline_cage_3	21_3	cycle_3_before_stress	Tetracycline_cycle_3_before_stress	Tetracycline_cycle_3_before_stress
X22.C1.T.1	run_one	control_Tetracycline	control_Tetracycline	single_bee	cage_1	control_Tetracycline_cage_1	22_3	cycle_3_after_stress	control_Tetracycline_cycle_3_after_stress	control_Tetracycline_cycle_3_after_stress
X22.C1.T.2	run_two	control_Tetracycline	control_Tetracycline	single_bee	cage_1	control_Tetracycline_cage_1	22_3	cycle_3_after_stress	control_Tetracycline_cycle_3_after_stress	control_Tetracycline_cycle_3_after_stress
X22.C1.T.4	run_two	control_Tetracycline	control_Tetracycline	single_bee	cage_1	control_Tetracycline_cage_1	22_3	cycle_3_after_stress	control_Tetracycline_cycle_3_after_stress	control_Tetracycline_cycle_3_after_stress
