SampleID	treatment	treatment2	treatment3	sample_type	cage	treatment_cage	date	cycle	treatment_cycle	treatment_cycle2	treatment_cycle3
X21.C3.G.2	control_Glyphosate	control_Glyphosate	Control	single_bee	cage_3	control_Glyphosate_cage_3	21_3	cycle_three_before_stress	control_Glyphosate_cycle_3_before_stress	control_Glyphosate_cycle_3_before_stress	control_cycle_3_before_stress
X21.C3.G.3	control_Glyphosate	control_Glyphosate	Control	single_bee	cage_3	control_Glyphosate_cage_3	21_3	cycle_three_before_stress	control_Glyphosate_cycle_3_before_stress	control_Glyphosate_cycle_3_before_stress	control_cycle_3_before_stress
X21.C3.G.5	control_Glyphosate	control_Glyphosate	Control	single_bee	cage_3	control_Glyphosate_cage_3	21_3	cycle_three_before_stress	control_Glyphosate_cycle_3_before_stress	control_Glyphosate_cycle_3_before_stress	control_cycle_3_before_stress
X21.C3.T.1	control_Tetracycline	control_Tetracycline	Control	single_bee	cage_3	control_Tetracycline_cage_3	21_3	cycle_three_before_stress	control_Tetracycline_cycle_3_before_stress	control_Tetracycline_cycle_3_before_stress	control_cycle_3_before_stress
X21.C3.T.2	control_Tetracycline	control_Tetracycline	Control	single_bee	cage_3	control_Tetracycline_cage_3	21_3	cycle_three_before_stress	control_Tetracycline_cycle_3_before_stress	control_Tetracycline_cycle_3_before_stress	control_cycle_3_before_stress
X21.C3.T.5	control_Tetracycline	control_Tetracycline	Control	single_bee	cage_3	control_Tetracycline_cage_3	21_3	cycle_three_before_stress	control_Tetracycline_cycle_3_before_stress	control_Tetracycline_cycle_3_before_stress	control_cycle_3_before_stress
X21.C3.T.6	control_Tetracycline	control_Tetracycline	Control	single_bee	cage_3	control_Tetracycline_cage_3	21_3	cycle_three_before_stress	control_Tetracycline_cycle_3_before_stress	control_Tetracycline_cycle_3_before_stress	control_cycle_3_before_stress
X21.Ch1.1	Chlorothalonil	Chlorothalonil	Chlorothalonil	single_bee	cage_1	Chlorothalonil_cage_1	21_3	cycle_three_before_stress	Chlorothalonil_cycle_3_before_stress	Chlorothalonil_cycle_3_before_stress	Chlorothalonil_cycle_3_before_stress
X21.Ch1.3	Chlorothalonil	Chlorothalonil	Chlorothalonil	single_bee	cage_1	Chlorothalonil_cage_1	21_3	cycle_three_before_stress	Chlorothalonil_cycle_3_before_stress	Chlorothalonil_cycle_3_before_stress	Chlorothalonil_cycle_3_before_stress
X21.Ch1.6	Chlorothalonil	Chlorothalonil	Chlorothalonil	single_bee	cage_1	Chlorothalonil_cage_1	21_3	cycle_three_before_stress	Chlorothalonil_cycle_3_before_stress	Chlorothalonil_cycle_3_before_stress	Chlorothalonil_cycle_3_before_stress
X21.Ch2.3	Chlorothalonil	Chlorothalonil	Chlorothalonil	single_bee	cage_2	Chlorothalonil_cage_2	21_3	cycle_three_before_stress	Chlorothalonil_cycle_3_before_stress	Chlorothalonil_cycle_3_before_stress	Chlorothalonil_cycle_3_before_stress
X21.Ch2.4	Chlorothalonil	Chlorothalonil	Chlorothalonil	single_bee	cage_2	Chlorothalonil_cage_2	21_3	cycle_three_before_stress	Chlorothalonil_cycle_3_before_stress	Chlorothalonil_cycle_3_before_stress	Chlorothalonil_cycle_3_before_stress
X21.Ch2.6	Chlorothalonil	Chlorothalonil	Chlorothalonil	single_bee	cage_2	Chlorothalonil_cage_2	21_3	cycle_three_before_stress	Chlorothalonil_cycle_3_before_stress	Chlorothalonil_cycle_3_before_stress	Chlorothalonil_cycle_3_before_stress
X21.Ch3.1	Chlorothalonil	Chlorothalonil	Chlorothalonil	single_bee	cage_3	Chlorothalonil_cage_3	21_3	cycle_three_before_stress	Chlorothalonil_cycle_3_before_stress	Chlorothalonil_cycle_3_before_stress	Chlorothalonil_cycle_3_before_stress
X21.Ch3.4	Chlorothalonil	Chlorothalonil	Chlorothalonil	single_bee	cage_3	Chlorothalonil_cage_3	21_3	cycle_three_before_stress	Chlorothalonil_cycle_3_before_stress	Chlorothalonil_cycle_3_before_stress	Chlorothalonil_cycle_3_before_stress
X21.Ch3.5	Chlorothalonil	Chlorothalonil	Chlorothalonil	single_bee	cage_3	Chlorothalonil_cage_3	21_3	cycle_three_before_stress	Chlorothalonil_cycle_3_before_stress	Chlorothalonil_cycle_3_before_stress	Chlorothalonil_cycle_3_before_stress
X21.G1.1	Glyphosate	Glyphosate	Glyphosate	single_bee	cage_1	Glyphosate_cage_1	21_3	cycle_three_before_stress	Glyphosate_cycle_3_before_stress	Glyphosate_cycle_3_before_stress	Glyphosate_cycle_3_before_stress
X21.G1.2	Glyphosate	Glyphosate	Glyphosate	single_bee	cage_1	Glyphosate_cage_1	21_3	cycle_three_before_stress	Glyphosate_cycle_3_before_stress	Glyphosate_cycle_3_before_stress	Glyphosate_cycle_3_before_stress
